year,month,day,dw_solar_50,dw_solar_75,dw_solar_90,dw_solar_99,uw_solar_50,uw_solar_75,uw_solar_90,uw_solar_99,direct_n_50,direct_n_75,direct_n_90,direct_n_99,dw_solar_sum,uw_solar_sum,direct_n_sum
1998,1,1,-9999.9,-9999.9,-9999.9,-9999.9,1.0,1.0,1.0,1.0,-9999.9,-9999.9,-9999.9,-9999.9,0.0,1440.0,0.0
1998,1,2,-9999.9,-9999.9,-9999.9,-9999.9,1.0,1.0,1.0,1.0,-9999.9,-9999.9,-9999.9,-9999.9,0.0,1440.0,0.0
1998,1,3,-9999.9,-9999.9,-9999.9,-9999.9,1.0,1.0,1.0,1.0,-9999.9,-9999.9,-9999.9,-9999.9,0.0,1440.0,0.0
1998,1,4,-9999.9,-9999.9,-9999.9,-9999.9,1.0,1.0,1.0,1.0,-9999.9,-9999.9,-9999.9,-9999.9,0.0,1440.0,0.0
1998,1,5,-9999.9,-9999.9,-9999.9,-9999.9,1.0,1.0,1.0,1.0,-9999.9,-9999.9,-9999.9,-9999.9,0.0,1440.0,0.0
1998,1,6,-9999.9,-9999.9,-9999.9,-9999.9,1.0,1.0,1.0,1.0,-9999.9,-9999.9,-9999.9,-9999.9,0.0,1440.0,0.0
1998,1,7,-9999.9,-9999.9,-9999.9,-9999.9,1.0,1.0,1.0,1.0,-9999.9,-9999.9,-9999.9,-9999.9,0.0,1440.0,0.0
1998,1,8,-9999.9,-9999.9,-9999.9,-9999.9,1.0,1.0,1.0,1.0,-9999.9,-9999.9,-9999.9,-9999.9,0.0,1440.0,0.0
1998,1,9,-9999.9,-9999.9,-9999.9,-9999.9,1.0,1.0,1.0,1.0,-9999.9,-9999.9,-9999.9,-9999.9,0.0,1440.0,0.0
1998,1,10,-9999.9,-9999.9,-9999.9,-9999.9,1.0,1.0,1.0,1.0,-9999.9,-9999.9,-9999.9,-9999.9,0.0,1440.0,0.0
1998,1,11,-9999.9,-9999.9,-9999.9,-9999.9,1.0,1.0,1.0,1.0,-9999.9,-9999.9,-9999.9,-9999.9,0.0,1440.0,0.0
1998,1,12,-9999.9,-9999.9,-9999.9,-9999.9,1.0,1.0,1.0,1.0,-9999.9,-9999.9,-9999.9,-9999.9,0.0,1440.0,0.0
1998,1,13,-9999.9,-9999.9,-9999.9,-9999.9,1.0,1.0,1.0,1.0,-9999.9,-9999.9,-9999.9,-9999.9,0.0,1440.0,0.0
1998,1,14,-9999.9,-9999.9,-9999.9,-9999.9,1.0,1.0,1.0,1.0,-9999.9,-9999.9,-9999.9,-9999.9,0.0,1440.0,0.0
1998,1,15,-9999.9,-9999.9,-9999.9,-9999.9,1.0,1.0,1.0,1.0,-9999.9,-9999.9,-9999.9,-9999.9,0.0,1440.0,0.0
1998,1,16,-9999.9,-9999.9,-9999.9,-9999.9,1.0,1.0,1.0,1.0,-9999.9,-9999.9,-9999.9,-9999.9,0.0,1440.0,0.0
1998,1,17,-9999.9,-9999.9,-9999.9,-9999.9,1.0,1.0,1.0,1.0,-9999.9,-9999.9,-9999.9,-9999.9,0.0,1440.0,0.0
1998,1,18,-9999.9,-9999.9,-9999.9,-9999.9,1.0,1.0,1.0,1.0,-9999.9,-9999.9,-9999.9,-9999.9,0.0,1440.0,0.0
1998,1,19,-9999.9,-9999.9,-9999.9,-9999.9,1.0,1.0,1.0,1.0,-9999.9,-9999.9,-9999.9,-9999.9,0.0,1440.0,0.0
1998,1,20,-9999.9,-9999.9,-9999.9,-9999.9,1.0,1.0,1.0,1.0,-9999.9,-9999.9,-9999.9,-9999.9,0.0,1440.0,0.0
1998,1,21,-9999.9,-9999.9,-9999.9,-9999.9,1.0,1.0,1.0,1.0,-9999.9,-9999.9,-9999.9,-9999.9,0.0,1440.0,0.0
1998,1,22,-9999.9,-9999.9,-9999.9,-9999.9,1.0,1.0,1.0,1.0,-9999.9,-9999.9,-9999.9,-9999.9,0.0,1440.0,0.0
